
AMASTHA - PSB;68634;PALMAS
RAUL FILHO - PR;41191;PALMAS
CLÁUDIA LELIS - PV;13121;PALMAS
ZÉ ROBERTO - PT;4865;PALMAS
SARGENTO ARAGÃO - PEN;3226;PALMAS
NULOS;10385
BRANCOS;4065
AMASTHA - PSB;68634;PALMAS
RAUL FILHO - PR;41191;PALMAS
CLÁUDIA LELIS - PV;13121;PALMAS
ZÉ ROBERTO - PT;4865;PALMAS
SARGENTO ARAGÃO - PEN;3226;PALMAS
NULOS;10385
BRANCOS;4065
