Candidato;Coligação;Votos;
ROSSANIA BURJAQUE;PRB;2
JOSUE LUZ;PRB;1
EDIVANZIM DO GESSO;PRB;1
RADU;PP;1
PROF. LINDOMAR JK;PP;1
SOLDADO ALCIVAN;PP;5
DEYKSOM;PP;2
JOÃO NELORE;PP;5
ESQUERDINHA;PP;1
ANDRÉIA AYRES;PP;1
FRED VIGILANTE;PP;1
PROFESSORA EDILAMAR;PP;1
ANGELA VILELA;PP;1
MANE MUDANÇA;PP;4
FRANÇUAR;PP;1
ORIVAN;PDT;1
MARIELLY;PDT;1
ISRAEL DA TEREZONA;PDT;2
NETO PAJEÚ;PDT;3
VALDIRENE;PT;2
SILVINIA;PT;3
LAFAETE PARANHOS;PRB;2
SOLDADO ALCIVAN;PP;9
ROBERTO MARACANÃ;PP;1
LILIANE DO DELIMAR;PP;1
DEYKSOM;PP;1
JOÃO NELORE;PP;2
ANDRÉIA AYRES;PP;4
MANE MUDANÇA;PP;3
FRANÇUAR;PP;1
ORIVAN;PDT;2
ISRAEL DA TEREZONA;PDT;3
NETO PAJEÚ;PDT;1
VALDIRENE;PT;2
SILVINIA;PT;3
MÁRCIO ZERBINI;PTB;2
JOAQUIM ALVES;PRP;1
ALBERTO ROCHA;PRP;1
ZEZÉ CARDOSO;PSDB;3
ROSEWELT;PSDB;2
SUB-TENENTE SAMUEL;PEN;1
REJANE RIBEIRO;PSD;2
JOAQUIM QUINTA NETO;PSD;8
PROFESSOR FRANKLIN;PC do B;2
TERCILIANO GOMES;SD;5
DIVINO BETHANIA JR;PROS;5
GILSON REIS;PMDB;1
GERALDO SILVA;PMDB;2
TOMAZ XAVIER;PMDB;2
FERREIRINHA;PMDB;4
JOSIAS FOTOGRAFO;PMDB;3
ENOQUE NETO;PSL;6
ERIMAR (DUDU);PSL;1
ROSA LUIZA;PSC;1
LUCY MACHADO;PSC;4
THIAGO COSTA;PSC;1
SILVANO DO PICOLE;PSC;2
GILMAR DA AUTO ESCOLA;PSC;2
JEEFERSON HUMBERTO;PSC;1
LUCIANO SANTANA;PR;5
GIPÃO;PR;2
MARCUS MARCELO;PR;6
VALERIA DOMINGUES;PR;1
XEROSO;PR;3
SILVINO TORNEIRO;PPS;1
PROFESSORA REGIFRAN;PPS;1
SARGENTO VALTENIR;PPS;1
MANOEL PIT-CALDO;PPS;1
GILBERTO SILVA;PPS;1
HELIO RODRIGUES;DEM;1
NETO TAVARES;PSDC;1
ZECA;PSDC;1
CARLOS SILVA;PSDC;3
GIDEON SOARES;PRTB;5
RAFAELLA BONÍCIO KALIL;PRTB;1
LEONARDO LIMA;PRTB;3
CLEUDO NEGÃO;PRTB;3
GUIGA ARANTES;PRTB;2
JARBINHA ABUD;PRTB;3
LUZIMAR COELHO;PRTB;2
EDILENE DIAS;PHS;1
PLINIO MEDEIROS;PHS;1
LUCIMAR (ZINHA);PMB;1
SANTOS BAHIA;PTC;4
RICARDO BRAGA;PTC;2
IRMÃ BETH MILHOMEM;PSB;1
PROFESSOR OSANAN;PSB;4
SEVERINO PINTO;PV;1
HILDEGLAN CARNEIRO;PV;1
EDIMAR LEANDRO;PRP;4
PROFESSOR ALMECIADES;PRP;2
JEFFERSON CARDOSO;PRP;1
PP;PP;2
PR;PR;5
PRP;PRP;1
BRANCO;;5
NULO;;10
ALCIDES GUIMARAES;PRB;1
ROSSANIA BURJAQUE;PRB;1
JOSUE LUZ;PRB;1
EDIVANZIM DO GESSO;PRB;1
SONIA DA CASA COR DE ROSA;PRB;1
CARLOS VIEIRA;PTB;1
FERREIRINHA;PMDB;10
JOSIAS FOTOGRAFO;PMDB;2
ENOQUE NETO;PSL;8
MARIA RIBEIRO;PSC;1
PASTOR NILSON GOMES;PSC;1
LUCY MACHADO;PSC;7
REMY CAVALCANTE;PSC;1
THIAGO COSTA;PSC;1
GILMAR DA AUTO ESCOLA;PSC;3
JEEFERSON HUMBERTO;PSC;2
LUCIANO SANTANA;PR;4
DAVI SOARES;PR;1
GIPÃO;PR;7
SILVANA BRINGEL;PR;1
MARCUS MARCELO;PR;9
VALERIA DOMINGUES;PR;6
XEROSO;PR;6
RADEMARKER SARAIVA MARTINS;PPS;1
PROFESSORA REGIFRAN;PPS;4
